id_transaksi,tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,nama_kasir,metode_pembayaran,pendapatan
TRX0042,2026-08-11,Roti Bakar,Makanan,9.0,7000.0,Pak Agus,Tunai,63000.0
TRX0005,2026-08-03,Gorengan,makanan,2.0,2000.0,Bu Sri,QRIS,4000.0
TRX0011,2026-08-04,Jus Alpukat,Minuman,4.0,8000.0,Bu Wati,Tunai,32000.0
TRX0035,2026-08-10,Mie Ayam,Makanan,7.5,10000.0,Pak Joko,Transfer,75000.0
TRX0007,2026-08-03,Kerupuk,Snack,10.0,2000.0,Bu Wati,Transfer,20000.0
TRX0045,2026-08-11,Teh Botol,Minuman,9.0,5000.0,Pak Joko,QRIS,45000.0
TRX0061,2026-08-14,Teh Botol,MINUMAN,14.0,5000.0,Bu Sri,QRIS,70000.0
TRX0008,2026-08-04,Mie Ayam,makanan,14.0,10000.0,Pak Joko,Tunai,140000.0
TRX0031,2026-08-07,Nasi Goreng,makanan,7.5,12000.0,Pak Agus,Tunai,90000.0
TRX0057,2026-08-13,Jus Alpukat,MINUMAN,14.0,8000.0,Bu Sri,Tunai,112000.0
TRX0017,2026-08-05,Es Jeruk,Minuman,1.0,4000.0,Bu Wati,Transfer,4000.0
TRX0052,2026-08-12,Roti Bakar,Makanan,3.0,7000.0,Bu Wati,Tunai,21000.0
TRX0047,2026-08-12,Teh Botol,MINUMAN,7.5,5000.0,Pak Joko,QRIS,37500.0
TRX0015,2026-08-05,Kerupuk,Snack,7.0,2000.0,Bu Sri,QRIS,14000.0
TRX0048,2026-08-12,Keripik Singkong,snack,15.0,3000.0,Bu Wati,QRIS,45000.0
TRX0004,2026-08-03,Nasi Goreng,makanan,13.0,12000.0,Pak Joko,QRIS,156000.0
TRX0054,2026-08-13,Jus Alpukat,Minuman,15.0,8000.0,Pak Joko,Tunai,120000.0
TRX0014,2026-08-05,Bakso,Makanan,9.0,11000.0,Pak Agus,Tunai,99000.0
TRX0026,2026-08-07,Teh Botol,MINUMAN,8.0,5000.0,Pak Joko,QRIS,40000.0
TRX0034,2026-08-10,Bakso,Makanan,1.0,11000.0,Bu Sri,QRIS,11000.0
TRX0046,2026-08-11,Nasi Goreng,Makanan,15.0,12000.0,Bu Wati,QRIS,180000.0
TRX0003,2026-08-03,Nasi Goreng,MAKANAN,9.0,12000.0,Pak Joko,Transfer,108000.0
TRX0025,2026-08-06,Mie Ayam,MAKANAN,9.0,10000.0,Pak Joko,Tunai,90000.0
TRX0019,2026-08-06,Nasi Goreng,Makanan,10.0,12000.0,Bu Wati,QRIS,120000.0
TRX0012,2026-08-04,Mie Ayam,Makanan,4.0,10000.0,Bu Wati,QRIS,40000.0
